nom,note_ch_1,time_ch_1,note_ch_2,time_ch_2,note_ch_3,time_ch_3,note_ch_4,time_ch_4
Linus Kane,3,3:59,2,0:49,3,0:06,3,2:17
Cara Lara,1,1:14,4,1:06,3,4:29,4,1:07
Orli Small,5,0:37,2,4:10,5,3:42,7,3:20
Rhona Walsh,0,1:28,1,3:13,1,3:01,9,4:31
Plato Gordon,3,1:13,3,1:04,5,2:12,6,0:39
David Nieves,2,0:03,4,3:55,3,4:27,8,0:41
Faith Baird,2,0:46,2,0:09,2,2:29,10,2:13
Morgan Bonner,2,2:05,3,3:56,2,4:04,3,0:26
Hamilton Powell,1,3:01,4,1:57,4,4:07,2,3:27
Alisa Gomez,0,2:12,1,0:34,2,3:09,2,3:39
Lionel Soto,2,3:54,3,4:58,2,2:54,9,0:41
Wanda King,4,1:43,3,3:54,1,2:29,7,0:49
Griffin Black,5,2:30,1,0:48,4,2:54,5,0:45
Desiree Gross,0,0:41,5,2:12,1,0:14,1,1:44
Olga Barrett,2,2:42,5,2:52,0,2:12,3,2:58
Camden Alford,3,3:26,3,0:59,5,3:21,4,4:27
Tanisha Martinez,1,2:22,2,0:44,1,2:09,10,2:06
Gisela Tate,3,4:41,2,0:23,5,2:19,3,2:49
Tarik Cardenas,1,0:14,2,0:25,2,4:33,9,4:53
Brennan Brock,2,3:02,4,4:16,0,2:48,10,3:36
Lee Lopez,4,0:47,4,0:27,2,1:58,6,3:28
Tatyana Mclaughlin,4,2:33,2,3:05,3,4:49,9,2:42
Adrian Mcdaniel,3,2:12,4,4:29,4,2:36,1,1:40
Quamar Paul,2,0:42,0,2:42,2,4:10,7,4:54
Nicholas Jennings,1,0:48,4,1:51,3,0:53,3,1:17
Sylvester Sherman,2,3:50,3,4:23,4,0:07,3,1:02
Melvin Villarreal,0,1:42,3,0:29,2,2:47,8,2:33
Kenyon Sharp,3,0:06,2,2:28,3,2:31,2,1:19
Fitzgerald Hinton,4,0:06,2,0:46,0,4:24,0,2:01
Samantha Mcintyre,5,4:38,1,4:02,2,1:59,1,1:27
Kane Shaw,0,2:06,2,4:27,0,0:22,9,3:07
Quamar Campbell,4,4:43,2,4:12,0,4:22,6,1:43
Cheyenne Barber,5,2:11,3,2:20,1,2:39,6,0:06
Ruby Cochran,3,2:20,2,4:07,2,0:23,5,1:09
Aileen Morin,2,1:48,5,3:26,0,2:43,1,4:35
Jacob Hernandez,4,1:45,5,0:02,0,3:28,7,4:47
Ginger Nguyen,4,4:24,1,4:35,3,0:38,9,1:14
Hashim Reid,0,3:16,1,0:39,0,2:33,8,1:02
Cameran Hyde,2,4:35,3,4:39,5,1:16,9,4:28
Avram Moody,4,2:41,1,1:02,3,4:25,7,4:28
Yuri Turner,1,4:19,4,1:31,5,2:08,3,2:36
Camden Dixon,0,0:44,4,2:05,1,3:15,8,1:39
Lila Coffey,4,2:51,2,2:22,4,1:06,4,2:17
Linda Salinas,0,0:13,3,4:45,3,0:42,1,3:06
Magee Mcdonald,3,4:49,5,2:29,3,4:48,10,2:20
Kyla Hyde,0,2:22,4,4:57,3,3:06,4,4:14
Signe Howard,3,4:32,2,1:11,5,2:21,6,2:26
Audra Doyle,4,3:46,2,3:54,1,0:04,7,4:51
Nola Castaneda,1,0:18,0,2:56,1,4:27,1,4:42
Raja Riley,2,0:49,2,0:30,2,4:42,7,4:37
Herman Matthews,0,3:59,2,0:00,0,0:53,9,2:59
Gary Mathews,0,0:28,1,3:05,3,2:47,6,0:31
Brynn Zimmerman,2,4:09,0,3:54,4,0:51,3,3:04
Zephr Morin,1,2:17,4,2:05,3,2:18,8,0:28
Natalie Frazier,2,2:40,4,2:29,4,0:19,6,2:52
Jada Gallagher,5,4:37,2,1:31,3,4:19,6,3:38
Medge Burton,1,2:57,1,1:56,0,3:26,5,1:11
Sylvia Bright,4,1:14,3,0:04,3,0:53,7,3:40
Judah Bradley,2,1:06,1,1:06,0,4:32,10,0:16
Jasper Conway,5,3:48,2,2:44,1,4:42,7,4:11
Eric Good,5,3:23,5,0:25,3,1:37,6,4:38
Calista Elliott,4,2:27,1,4:17,1,4:23,7,4:05
Tyler Luna,1,2:40,2,2:48,0,1:56,7,2:32
Mallory Mendez,5,1:04,2,2:55,5,1:17,3,3:42
Phillip Dickson,4,1:44,4,3:28,0,2:45,10,4:05
Duncan Rollins,3,2:31,2,4:30,3,1:52,1,0:04
Sean Watts,1,1:26,3,4:32,0,3:29,10,2:13
Tad Nolan,2,2:18,2,2:35,1,4:05,0,3:26
Ivana Decker,4,0:30,0,2:59,1,4:06,5,1:26
Emily Cruz,1,0:22,3,3:14,3,1:16,9,0:47
Benedict Mayo,2,4:23,2,0:37,3,3:05,7,1:47
Desiree Diaz,4,4:06,2,2:05,2,1:57,5,3:38
